issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"I cannot restore access or override your organization's admin settings. For a Team or Enterprise workspace, ask an organization Owner/Admin to re-add you, approve your join request, or send a new invite. If you are re-added to the same organization with the same email address, prior chats and projects may be restored subject to visibility and retention settings.",account_access,escalated,product_issue,Access restoration requires organization admin action and cannot be performed by the support agent. Source: Manage members on Team and Enterprise plans (data/claude/team-and-enterprise-plans/admin-management/13133750-manage-members-on-team-and-enterprise-plans.md).
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Escalate to a human support specialist. HackerRank support documentation can explain scoring and reports, but it cannot change a candidate score, review private answers on demand, or instruct a hiring company to advance a candidate.",screen,escalated,product_issue,"The ticket asks for score alteration and employer decision intervention, which is sensitive and account-specific. Source: Northstarz - HackerRank Integration User Guide Adding HackerRank test to a job on Northstarz Sending HackerRank test invites from Northstarz Viewing a candidate test report on Northstarz (data/hackerrank/integrations/applicant-tracking-systems/northstarz/4546750166-northstarz-hackerrank-integration-user-guide.md)."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"Visa cannot directly refund the purchase or ban the merchant from this support request. To dispute the charge, contact your card issuer or bank using the number on the front or back of your Visa card; they may ask for transaction details. If you have concerns about a merchant, Visa's support corpus also directs cardholders to submit the merchant concern form.",dispute_resolution,replied,product_issue,The corpus routes cardholder disputes to the issuer/bank and merchant concerns to Visa's form; it does not support direct refund or merchant bans. Source: Dispute Resolution (data/visa/support/small-business/dispute-resolution.md).
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Escalate to HackerRank support for account-specific review. The billing FAQ says failed payments should be retried and incorrectly deducted amounts are refunded within 5-10 business days, but a stopped mock interview and refund request requires human handling.",billing,escalated,product_issue,"Refunds and interrupted mock-interview sessions require account/payment review beyond static documentation. Source: Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans (data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md)."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"Escalate to HackerRank billing support for order-specific review. The public FAQ can explain payment retry and refund timing, but it cannot inspect a Stripe/Razorpay order or confirm the state of a specific transaction.",billing,escalated,product_issue,"The ticket includes an order-specific payment issue that needs human billing lookup. Source: Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans (data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md)."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Escalate to the HackerRank account or solution engineering team. Security questionnaires and company infosec forms are organization-specific and should be completed by the appropriate business/support team rather than guessed from help-center articles.,general_help,escalated,product_issue,The requested infosec form completion is company-specific and not answerable from the static corpus alone. Source: HackerRank AI Data Services FAQ (data/hackerrank/general-help/hackerrank-ai-data-services/2212135172-hackerrank-ai-data-services-faq.md).
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"The Apply tab is part of HackerRank Community's QuickApply flow. Log in to HackerRank Community, go to the Apply tab, and follow the QuickApply onboarding steps. If you installed QuickApply in one browser and switch to another, the Apply tab may remind you to install the extension again.",community,replied,product_issue,The QuickApply article describes the Apply tab and setup flow for job applications. Source: Set Up HackerRank QuickApply (data/hackerrank/hackerrank_community/additional-resources/job-search-and-applications/7358354033-set-up-quick-apply.md).
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Escalate to HackerRank support because submissions failing across all challenges may indicate a platform issue. Include the challenge links, browser, time of failure, and whether reopening the challenge or using another supported browser changes the behavior.",community,escalated,bug,"The report affects all submissions, so incident-style triage is safer than a single FAQ answer. Source: Coding Challenges FAQs (data/hackerrank/hackerrank_community/practice-coding-challenges/1273631973-coding-challenges-faqs.md)."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Run the HackerRank System Compatibility Check again and use a supported browser such as the latest Chrome, Edge, Firefox, or Safari. For interview setup issues, the corpus recommends checking browser, network, or device issues; if the Zoom/connectivity error persists, contact support@hackerrank.com and include your interview or test link.",interviews,replied,bug,"The interview FAQ and browser recommendations give troubleshooting steps for compatibility, network, and device issues. Source: Audio and Video Calls in Interviews Powered by Zoom Prerequisites Key benefits Screen sharing during interviews Customize the video layout Verify system compatibility (data/hackerrank/interviews/getting-started/6271433412-audio-and-video-calls-in-interviews-powered-by-zoom.md)."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Escalate or contact the hiring company/recruiter who owns the assessment. HackerRank can document invite and test settings, but rescheduling a company assessment is controlled by the test owner and may require recruiter approval.",screen,escalated,product_issue,Assessment scheduling decisions are controlled by the hiring company and require account-specific action. Source: Onboarding Candidates (data/hackerrank/uncategorized/9695299159-onboarding-candidates.md).
